ReportedYear,GeoDivision,Category,Subtype,Count_,CountCleared
2015,D52,Crimes Against Property,Break & Enter-Apartment,74,29
2016,D12,Crimes Against Property,Break & Enter-Other,25,9
2015,D14,Other Federal Statute Violations,Other,20,16
2015,D22,Controlled Drugs and Substances Act,Other,222,201
2015,D22,Crimes Against Property,Auto Theft,344,48
2015,D22,Crimes Against Property,Break & Enter-Apartment,124,32
2015,D22,Crimes Against Property,Break & Enter-Commercial,153,53
2015,D22,Crimes Against Property,Break & Enter-House,220,44
2015,D22,Crimes Against Property,Break & Enter-Other,25,4
2015,D22,Crimes Against Property,Fraud,551,130
2015,D22,Crimes Against Property,Other,829,262
2015,D22,Crimes Against Property,Theft Over $5000,102,27
2015,D22,Crimes Against Property,Theft Under $5000,2184,661
2015,D22,Crimes Against the Person,Assault,824,588
2015,D22,Crimes Against the Person,Attempt Murder,6,6
2015,D22,Crimes Against the Person,Other,366,185
2015,D22,Crimes Against the Person,Robbery-Financial,15,14
2015,D22,Crimes Against the Person,Robbery-Other,135,57
2015,D22,Crimes Against the Person,Sexual Violation,93,60
2015,D22,Criminal Code Traffic ,Other,154,154
2015,D22,Other Criminal Code Violations,Other,751,688
2015,D22,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,77,69
2015,D22,Other Federal Statute Violations,Other,19,18
2015,D23,Controlled Drugs and Substances Act,Other,199,193
2015,D23,Crimes Against Property,Auto Theft,499,20
2015,D23,Crimes Against Property,Break & Enter-Apartment,88,12
2015,D23,Crimes Against Property,Break & Enter-Commercial,116,23
2015,D23,Crimes Against Property,Break & Enter-House,92,18
2015,D23,Crimes Against Property,Break & Enter-Other,12,1
2015,D23,Crimes Against Property,Fraud,410,124
2015,D23,Crimes Against Property,Other,659,204
2015,D23,Crimes Against Property,Theft Over $5000,79,13
2015,D23,Crimes Against Property,Theft Under $5000,1561,388
2015,D23,Crimes Against the Person,Assault,828,555
2015,D23,Crimes Against the Person,Attempt Murder,10,5
2015,D52,Crimes Against Property,Break & Enter-Commercial,207,99
2016,D12,Crimes Against Property,Fraud,317,79
2015,D52,Crimes Against Property,Break & Enter-House,8,6
2016,D12,Crimes Against Property,Other,513,190
2015,D52,Crimes Against Property,Break & Enter-Other,35,19
2016,D12,Crimes Against Property,Theft Over $5000,28,10
2015,D52,Crimes Against Property,Fraud,689,201
2016,D12,Crimes Against Property,Theft Under $5000,1213,420
2015,D52,Crimes Against Property,Other,921,412
2016,D12,Crimes Against the Person,Assault,747,531
2015,D52,Crimes Against Property,Theft Over $5000,106,18
2016,D12,Crimes Against the Person,Attempt Murder,11,5
2015,D52,Crimes Against Property,Theft Under $5000,5087,1882
2016,D12,Crimes Against the Person,Other,172,94
2015,D52,Crimes Against the Person,Assault,1294,864
2016,D12,Crimes Against the Person,Robbery-Financial,9,6
2015,D52,Crimes Against the Person,Attempt Murder,8,6
2016,D12,Crimes Against the Person,Robbery-Other,201,98
2015,D52,Crimes Against the Person,Other,309,152
2016,D12,Crimes Against the Person,Sexual Violation,104,65
2015,D52,Crimes Against the Person,Robbery-Financial,9,9
2016,D12,Criminal Code Traffic ,Other,87,85
2015,D52,Crimes Against the Person,Robbery-Other,119,56
2016,D12,Other Criminal Code Violations,Other,502,467
2015,D52,Crimes Against the Person,Sexual Violation,132,76
2016,D12,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,83,74
2015,D33,Crimes Against Property,Break & Enter-Apartment,124,18
2015,D52,Criminal Code Traffic ,Other,78,75
2015,D52,Other Criminal Code Violations,Other,2087,2021
2015,D52,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,114,107
2015,D52,Other Federal Statute Violations,Other,31,27
2015,D53,Controlled Drugs and Substances Act,Other,110,105
2015,D53,Crimes Against Property,Auto Theft,134,41
2015,D53,Crimes Against Property,Break & Enter-Apartment,134,26
2015,D53,Crimes Against Property,Break & Enter-Commercial,109,29
2015,D53,Crimes Against Property,Break & Enter-House,124,10
2015,D53,Crimes Against Property,Break & Enter-Other,12,1
2015,D53,Crimes Against Property,Fraud,479,120
2015,D53,Crimes Against Property,Other,608,183
2015,D53,Crimes Against Property,Theft Over $5000,64,12
2015,D53,Crimes Against Property,Theft Under $5000,2331,768
2015,D53,Crimes Against the Person,Assault,647,424
2015,D53,Crimes Against the Person,Other,301,171
